Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,0.21,..,..,..,..,0.21,..,..,0.21,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Albania,ALB,6.57,..,..,..,..,7.65,..,..,..,..,7.69,..,..,..,..,6.74,..,..,7.17,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Algeria,DZA,0.58,..,..,..,..,0.81,..,..,..,..,0.65,..,..,..,..,0.93,..,..,0.95,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Andorra,AND,13.28,..,..,..,..,12.55,..,..,..,..,11.11,..,..,..,..,11.01,..,..,11.02,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Angola,AGO,2.76,..,..,..,..,4.89,..,..,..,..,8.16,..,..,..,..,7.96,..,..,6.94,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Antigua and Barbuda,ATG,5.13,..,..,..,..,5.37,..,..,..,..,5.6,..,..,..,..,5.89,..,..,6.38,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Argentina,ARG,8.75,..,..,..,..,8.66,..,..,..,..,9.09,..,..,..,..,9.55,..,..,9.65,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Armenia,ARM,4.23,..,..,..,..,5.79,..,..,..,..,5.69,..,..,..,..,5.84,..,..,5.55,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Australia,AUS,11.72,..,..,..,..,12.08,..,..,..,..,12.39,..,..,..,..,10.83,..,..,10.51,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Austria,AUT,13.12,..,..,..,..,12.79,..,..,..,..,12.2,..,..,..,..,12.07,..,..,11.96,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Azerbaijan,AZE,3.45,..,..,..,..,1.81,..,..,..,..,2.97,..,..,..,..,4.58,..,..,4.41,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Bahamas  The,BHS,5.58,..,..,..,..,4.28,..,..,..,..,4.12,..,..,..,..,4.55,..,..,4.78,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Bahrain,BHR,1.74,..,..,..,..,1.76,..,..,..,..,1.69,..,..,..,..,1.3,..,..,1.09,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Bangladesh,BGD,0.23,..,..,..,..,0.16,..,..,..,..,0.16,..,..,..,..,0.021,..,..,0.019,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Barbados,BRB,7.11,..,..,..,..,7.4,..,..,..,..,7.95,..,..,..,..,9.33,..,..,9.69,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Belarus,BLR,15.17,..,..,..,..,15.3,..,..,..,..,17.43,..,..,..,..,12,..,..,11.45,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Belgium,BEL,12.49,..,..,..,..,13.13,..,..,..,..,11.4,..,..,..,..,11.82,..,..,11.08,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Belize,BLZ,5.55,..,..,..,..,7.16,..,..,..,..,7.08,..,..,..,..,6.74,..,..,6.22,..,..
