Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Inflation consumer prices (annual %),FP.CPI.TOTL.ZG,Afghanistan,AFG,..,..,..,..,..,12.68626872,6.78459655,8.680570785,26.41866415,-6.811161089,2.178537524,11.80418581,6.441212809,7.385771784,4.673996035,-0.661709165,4.383891955,4.975951506,0.626149149,2.302372515,..
Inflation consumer prices (annual %),FP.CPI.TOTL.ZG,Albania,ALB,0.050018136,3.10758827,7.770525834,0.484002612,2.280019169,2.366581957,2.370728319,2.932682482,3.320870904,2.266922095,3.626046956,3.429123247,2.031592684,1.937620802,1.625865044,3.501208355,-0.36731721,2.060598459,2.028059631,1.41109079,1.620886617
Inflation consumer prices (annual %),FP.CPI.TOTL.ZG,Algeria,DZA,0.339163189,4.225988349,1.418301923,4.268953958,3.961800303,1.382446567,2.311499185,3.678995747,4.858590628,5.737060361,3.911061955,4.524211505,8.891450911,3.25423911,2.916926921,4.784447007,6.397694803,5.59111591,4.269990205,1.951768211,2.415130941
Inflation consumer prices (annual %),FP.CPI.TOTL.ZG,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Inflation consumer prices (annual %),FP.CPI.TOTL.ZG,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Inflation consumer prices (annual %),FP.CPI.TOTL.ZG,Angola,AGO,324.9968716,152.5610225,108.8974361,98.22414366,43.54210675,22.95351385,13.30521018,12.25149745,12.47582913,13.73028393,14.46965649,13.48246792,10.27790492,8.777814293,7.280387304,9.150372075,30.69531299,29.84358669,19.62860772,17.08121521,..
Inflation consumer prices (annual %),FP.CPI.TOTL.ZG,Antigua and Barbuda,ATG,0.771779797,1.402796636,2.407658013,1.993530552,2.030077579,2.098751967,1.787785374,1.416052594,5.333806398,-0.550159996,3.370025402,3.456749672,3.376880443,1.059497824,1.089441574,0.968993459,-0.489437796,2.43248789,1.207157934,1.431355982,..
Inflation consumer prices (annual %),FP.CPI.TOTL.ZG,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Inflation consumer prices (annual %),FP.CPI.TOTL.ZG,Armenia,ARM,-0.790883769,3.145904647,1.060049293,4.721553366,6.961261359,0.638928002,2.892356625,4.407360896,8.949953354,3.406766827,8.176361385,7.650008079,2.558020078,5.789667785,2.981308689,3.731691193,-1.403607559,0.969553269,2.52023382,1.443446608,1.211435778
Inflation consumer prices (annual %),FP.CPI.TOTL.ZG,Aruba,ABW,4.044021312,2.883604303,3.315246786,3.656365079,2.529129469,3.397786778,3.608024388,5.392567845,8.955987052,-2.13542872,2.078140719,4.316297422,0.627471993,-2.372065243,0.421440919,0.474763597,-0.931195987,-1.028281788,3.626041414,4.257462043,..
Inflation consumer prices (annual %),FP.CPI.TOTL.ZG,Australia,AUS,4.457435148,4.407135362,2.981574539,2.732595966,2.343255225,2.691831683,3.555287737,2.327611289,4.35029855,1.771117166,2.918340027,3.303850156,1.762780156,2.449888641,2.487922705,1.508366722,1.276990945,1.948647409,1.911400944,1.610767873,0.846905537
Inflation consumer prices (annual %),FP.CPI.TOTL.ZG,Austria,AUT,2.344862854,2.650000773,1.810357878,1.355553709,2.06120618,2.299137856,1.441548511,2.168555288,3.215950332,0.506308828,1.81353439,3.286579149,2.485675622,2.000156169,1.60581183,0.896563335,0.891591753,2.081269114,1.998379814,1.530895642,1.381910634
Inflation consumer prices (annual %),FP.CPI.TOTL.ZG,Azerbaijan,AZE,1.805003037,1.547195902,2.77116472,2.23386493,6.708930428,9.679507319,8.328924829,16.69975496,20.84908718,1.45704836,5.726872247,7.858333333,1.066213397,2.415717453,1.373441815,4.027685737,12.44337486,12.93591842,2.268546904,2.610571828,2.75980947
Inflation consumer prices (annual %),FP.CPI.TOTL.ZG,Bahamas  The,BHS,1.606329417,2.044989775,2.173577925,3.025045263,0.981914037,1.591606181,2.389826274,2.492577949,4.489559954,2.062734735,1.344027384,3.198781417,1.97336756,1.034670351,-7.224542729,11.11111111,-0.330038396,1.499926233,2.267515101,2.491235274,0.038521098
Inflation consumer prices (annual %),FP.CPI.TOTL.ZG,Bahrain,BHR,-0.704852953,-1.207571802,-0.495540139,1.593625498,2.352941176,2.586206897,2.007469655,3.256666667,3.526003164,2.795512836,1.961884683,-0.400040697,2.7573967,3.300011569,2.647553212,1.848627424,2.786793476,1.386718306,2.08766938,1.005820047,-2.317706293
