Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population density (people per sq. km of land area),EN.POP.DNST,Afghanistan,AFG,31.8291165,33.09590418,34.61810189,36.27251019,37.87441258,39.2952149,40.48809546,41.51049536,42.46282664,43.49294795,44.70408817,46.13149986,47.73056704,49.42804277,51.11479337,52.7120715,54.19696106,55.59555035,56.93704929,58.26939466,59.62739485
Population density (people per sq. km of land area),EN.POP.DNST,Albania,ALB,112.7382117,111.685146,111.3507299,110.9348905,110.4722263,109.9082847,109.2170438,108.394781,107.5662044,106.8437591,106.314635,106.0290146,105.8540511,105.660292,105.4417518,105.135146,104.9671898,104.8706934,104.6122628,104.1675547,103.5672628
Population density (people per sq. km of land area),EN.POP.DNST,Algeria,DZA,13.0334285,13.20526716,13.37472184,13.54646561,13.72616365,13.91827823,14.12455054,14.34538447,14.58202994,14.83532292,15.10553251,15.39271205,15.69604533,16.01355941,16.34254285,16.68024357,17.02594783,17.37769724,17.73006175,18.07629545,18.41133986
Population density (people per sq. km of land area),EN.POP.DNST,American Samoa,ASM,289.08,292.48,295.385,297.475,298.42,297.785,295.545,291.835,287.45,283.375,280.42,278.775,278.345,278.585,278.955,279.03,278.695,278.085,277.305,276.56,275.985
Population density (people per sq. km of land area),EN.POP.DNST,Andorra,AND,139.1276596,143.2851064,149.0382979,155.7021277,162.2340426,167.8106383,172.3297872,175.9191489,178.4255319,179.7042553,179.6893617,178.187234,175.3765957,171.8510638,168.5382979,165.9425532,164.4574468,163.8234043,163.8468085,164.1404255,164.393617
Population density (people per sq. km of land area),EN.POP.DNST,Angola,AGO,13.15110051,13.59248656,14.05263335,14.53555547,15.04623245,15.58803561,16.16259325,16.76855699,17.40245127,18.05909601,18.73445657,19.42781744,20.1395083,20.86771958,21.61047004,22.3665517,23.13506216,23.9165549,24.71307211,25.52763215,26.36261169
Population density (people per sq. km of land area),EN.POP.DNST,Antigua and Barbuda,ATG,172.7431818,175.4818182,177.95,180.2522727,182.6068182,185.1409091,187.9886364,190.975,194.0772727,197.1431818,200.0681818,202.8409091,205.4704545,207.9772727,210.3681818,212.6613636,214.8181818,216.875,218.8227273,220.7159091,222.5636364
Population density (people per sq. km of land area),EN.POP.DNST,Argentina,ARG,13.47277039,13.62070384,13.76909442,13.91749376,14.06515535,14.21166592,14.35671413,14.5008397,14.64548743,14.79260932,14.90430155,15.0771516,15.2495427,15.42116023,15.59164538,15.76063274,15.92813508,16.09419079,16.2585101,16.42082662,16.58089261
Population density (people per sq. km of land area),EN.POP.DNST,Armenia,ARM,107.8186512,107.1544081,106.5674745,106.0041447,105.3991921,104.7159115,103.9094134,103.0072006,102.1290832,101.4434141,101.0647699,101.0374429,101.3080084,101.7770636,102.2972603,102.7593607,103.131261,103.4348086,103.6789954,103.889287,104.0826835
Population density (people per sq. km of land area),EN.POP.DNST,Aruba,ABW,504.8111111,516.0666667,527.7333333,538.9777778,548.5777778,555.7111111,560.1666667,562.3666667,563.1222222,563.6222222,564.8055556,566.9444444,569.8055556,573.1388889,576.5333333,579.6611111,582.5833333,585.3388889,588.0333333,590.6111111,593.1444444
Population density (people per sq. km of land area),EN.POP.DNST,Australia,AUS,2.493133567,2.526977598,2.558009971,2.589771292,2.619970582,2.654777866,2.694232196,2.711115161,2.765994559,2.823594496,2.867858584,2.90798641,2.95920037,3.010573526,3.055814795,3.100112596,3.144935531,3.198361419,3.24787091,3.297670183,3.339440225
Population density (people per sq. km of land area),EN.POP.DNST,Austria,AUT,97.01581497,97.38790264,97.86821264,98.34612497,98.95817389,99.63464519,100.1288569,100.4563806,100.7713435,101.0356633,101.2874254,101.6417316,102.1148703,102.7471253,103.5633217,104.7345977,105.8733398,106.6113185,107.1318589,107.6093068,108.0611367
Population density (people per sq. km of land area),EN.POP.DNST,Azerbaijan,AZE,97.43477998,98.19379207,98.9124646,99.62372356,100.4753726,101.5225018,102.6725317,103.8533687,106.0597625,108.2912905,109.5423442,110.9763362,112.4607902,113.9234808,115.3488139,116.7310768,118.033289,119.2087416,120.2575919,121.2800711,122.1129165
Population density (people per sq. km of land area),EN.POP.DNST,Bahamas  The,BHS,29.77472527,30.23156843,30.73496503,31.28101898,31.85744256,32.45234765,33.07012987,33.704995,34.33366633,34.92507493,35.45814186,35.92237762,36.32177822,36.67952048,37.02547453,37.38261738,37.75454545,38.13676324,38.52497502,38.90969031,39.28551449
Population density (people per sq. km of land area),EN.POP.DNST,Bahrain,BHR,936.0704225,982.4647887,1035.408451,1081.538889,1136.775342,1201.563514,1295.166216,1381.232,1466.638158,1559.309211,1628.430446,1666.431551,1688.236364,1707.82987,1732.909209,1763.307198,1830.286264,1915.483333,2012.102564,2104.05641,2181.516667
Population density (people per sq. km of land area),EN.POP.DNST,Bangladesh,BGD,980.7010986,999.3755013,1017.731251,1035.504325,1052.365591,1068.107129,1082.593178,1095.954375,1108.582346,1121.032458,1133.713091,1146.755274,1160.065553,1173.553146,1187.042982,1200.401682,1213.62181,1226.745187,1239.738135,1252.563363,1265.186932
Population density (people per sq. km of land area),EN.POP.DNST,Barbados,BRB,631.4209302,633.7069767,635.8674419,637.9790698,640.1930233,642.6046512,645.2906977,648.1418605,651.0372093,653.7372093,656.1186047,658.1093023,659.7627907,661.1488372,662.3837209,663.5511628,664.6465116,665.6488372,666.6046512,667.4906977,668.3046512
Population density (people per sq. km of land area),EN.POP.DNST,Belarus,BLR,49.19941826,48.94768783,48.6394912,48.30029581,47.97665796,47.64539269,47.33821587,47.1215032,46.95901922,46.86215856,46.74142928,46.62975211,46.55677887,46.53937252,46.55060033,46.61133719,46.64994482,46.59830041,46.50105922,46.40732092,46.21121293
Population density (people per sq. km of land area),EN.POP.DNST,Belgium,BEL,338.5485469,339.7149934,341.2412483,342.6728203,344.1590819,346.0573646,348.347358,350.9147952,353.6979194,356.555251,359.8278071,364.5397622,366.8075297,368.5405218,370.180218,372.3314399,374.2213342,375.6657199,377.3795905,379.4247028,381.6379458
Population density (people per sq. km of land area),EN.POP.DNST,Belize,BLZ,10.84217448,11.18228847,11.50315651,11.81183691,12.12257782,12.44182376,12.77238053,13.10964489,13.45120561,13.79460763,14.13700132,14.47768523,14.81810609,15.15594038,15.49171416,15.82314774,16.15076721,16.47413415,16.79399386,17.11315213,17.43187199
Population density (people per sq. km of land area),EN.POP.DNST,Benin,BEN,60.88990777,62.75920539,64.69847464,66.69524654,68.73007272,70.78949095,72.87063675,74.98040085,77.12766052,79.32523058,81.58260021,83.90235012,86.28284853,88.72467187,91.22773147,93.79178787,96.41780773,99.10599503,101.8538045,104.6572455,107.5132849
Population density (people per sq. km of land area),EN.POP.DNST,Bermuda,BMU,1145.055556,1157.481481,1165.037037,1172.685185,1180.37037,1188.037037,1194.87037,1201.62963,1208.759259,1215.481481,1206,1195.62963,1199.962963,1203.722222,1206.259259,1208.092593,1195.444444,1182.833333,1183.685185,1183.574074,1183.388889
Population density (people per sq. km of land area),EN.POP.DNST,Bhutan,BTN,14.84959799,15.16690955,15.47801508,15.77487437,16.75916258,17.01980744,17.24700265,17.44295196,17.61972348,17.7959703,17.98415405,18.18865598,18.40601307,18.63302463,18.86436498,19.09607262,19.31381082,19.54600986,19.77965391,20.00770844,20.23104352
