Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-2.109626,-1.804449,-1.430002,-1.505863,-1.637369,-1.667902,-1.688257,-1.621583,-1.674311,-1.532861,-1.540586,-1.193118,-1.193137,-1.118182,-0.9973711,-1.327688,-1.336691,-1.133277,-1.12069,-1.378587
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,-0.2543595,-0.2246936,-0.4475814,-0.1657453,-0.3718735,-0.1017605,0.0606124,0.1475397,0.2382841,0.2294774,0.232936,0.1991688,0.2097187,0.2219903,0.1866678,0.1890221,0.223364,0.2541973,0.2738677,0.2371311
Algeria,DZA,Regulatory Quality: Estimate,RQ.EST,-0.7053858,-0.5834717,-0.5172341,-0.5441265,-0.3833986,-0.5715542,-0.622034,-0.7946138,-1.073803,-1.171034,-1.189574,-1.276868,-1.16597,-1.282962,-1.173605,-1.171879,-1.19422,-1.226688,-1.303447,-1.291494
American Samoa,ASM,Regulatory Quality: Estimate,RQ.EST,..,..,..,0.506223,0.3719929,0.3619615,0.3774178,0.3906331,0.4036857,0.3956605,0.3902979,0.3632333,0.366314,0.1808667,0.1724523,0.1366879,-0.2525457,-0.2859912,-0.2996039,0.542098
Andorra,AND,Regulatory Quality: Estimate,RQ.EST,1.276005,1.468842,1.447286,1.424216,1.360657,1.350138,1.377706,1.398468,1.408183,1.391692,1.617491,1.568978,1.567499,0.8850665,0.9129404,0.8714429,1.209727,1.193258,1.228282,1.339709
Angola,AGO,Regulatory Quality: Estimate,RQ.EST,-1.799331,-1.46316,-1.212144,-1.251539,-1.257796,-1.132907,-1.02466,-1.065344,-1.031473,-1.035929,-1.097776,-0.9697781,-1.054224,-0.9884589,-0.9091855,-1.00138,-1.042228,-0.8776826,-0.8940375,-0.9085017
Anguilla,AIA,Regulatory Quality: Estimate,RQ.EST,..,..,..,0.9169039,1.113491,1.350138,1.377706,1.398468,1.408183,1.391692,1.372053,1.327829,1.327262,0.8850665,0.9129404,0.8714429,0.844159,0.8234454,0.8463107,0.9409034
Antigua and Barbuda,ATG,Regulatory Quality: Estimate,RQ.EST,0.7923433,0.7359084,0.7157142,0.5910869,0.587315,0.5481927,0.5313625,0.6425917,0.6548098,0.6446683,0.6357366,0.6043823,0.6065512,0.5329666,0.3740782,0.3414612,0.2530876,0.4139312,0.4854296,0.5125659
Argentina,ARG,Regulatory Quality: Estimate,RQ.EST,0.2572446,-0.9190252,-0.7089257,-0.7137598,-0.5483672,-0.6406317,-0.6682156,-0.7375205,-0.8450356,-0.7623686,-0.7222099,-0.9292172,-0.957261,-1.074257,-0.9114419,-0.4696253,-0.2898896,-0.2906713,-0.4932295,-0.5673085
Armenia,ARM,Regulatory Quality: Estimate,RQ.EST,-0.1165632,0.0394886,0.2097894,0.1291029,0.0834767,0.2846058,0.271804,0.3378677,0.2962559,0.3094823,0.2732067,0.349337,0.252607,0.2134245,0.2418069,0.2500556,0.2805222,0.3279592,0.249007,0.2500479
Aruba,ABW,Regulatory Quality: Estimate,RQ.EST,..,..,..,0.7719577,0.8663251,0.85605,0.877562,0.8945503,1.291655,1.347078,1.32283,1.408916,1.429111,1.250432,1.371496,1.347553,1.194347,0.8561839,0.8574405,0.9238698
Australia,AUS,Regulatory Quality: Estimate,RQ.EST,1.637249,1.467519,1.607837,1.721607,1.600643,1.623903,1.683095,1.765919,1.819984,1.698415,1.858609,1.786468,1.800868,1.863708,1.788684,1.896966,1.933411,1.902706,1.873689,1.816904
Austria,AUT,Regulatory Quality: Estimate,RQ.EST,1.534618,1.58584,1.569717,1.524203,1.606079,1.644535,1.690031,1.606344,1.452587,1.452815,1.382634,1.524189,1.490679,1.48773,1.403266,1.440436,1.440179,1.531354,1.459237,1.401355
Azerbaijan,AZE,Regulatory Quality: Estimate,RQ.EST,-0.9318838,-0.7069774,-0.5656479,-0.5902202,-0.5777211,-0.5232428,-0.4590306,-0.354921,-0.3080575,-0.3723761,-0.3719663,-0.4555908,-0.4083123,-0.2771416,-0.2547193,-0.2820228,-0.2449824,-0.1973939,-0.2269891,-0.3147717
Bahamas,BHS,Regulatory Quality: Estimate,RQ.EST,1.193974,1.342486,1.186557,1.133929,1.106881,1.051078,1.028625,1.052687,0.8027678,0.5507844,0.5280252,0.3950239,0.1900627,0.1719736,0.1661729,0.2575893,0.1230418,0.1802535,-0.0482854,0.0138412
Bahrain,BHR,Regulatory Quality: Estimate,RQ.EST,0.7893434,0.9075058,0.6542107,0.7115225,0.6620233,0.6833447,0.7653286,0.7110434,0.6942499,0.7138977,0.7209967,0.6894466,0.6073823,0.7084731,0.8196669,0.6082391,0.4164841,0.4166367,0.4851534,0.6258294
Bangladesh,BGD,Regulatory Quality: Estimate,RQ.EST,-0.8357115,-0.9786172,-0.916686,-1.126801,-1.072006,-1.001249,-0.9456931,-0.9163275,-0.8645244,-0.8470868,-0.8115228,-0.951405,-0.9147804,-0.9375781,-0.8990583,-0.7966801,-0.8055848,-0.8343157,-0.9290726,-0.9019138
Barbados,BRB,Regulatory Quality: Estimate,RQ.EST,1.308765,1.125082,1.15479,1.088803,1.155897,1.00106,1.080872,0.8809694,0.5863398,0.5074166,0.6473415,0.4534954,0.4570413,0.3385934,0.5658875,0.4810649,0.4947271,0.5435893,0.4123509,0.4801968
Belarus,BLR,Regulatory Quality: Estimate,RQ.EST,-1.701348,-1.527505,-1.300569,-1.218654,-1.454486,-1.622619,-1.425799,-1.237736,-1.121109,-1.131118,-1.177444,-1.069632,-1.068252,-1.008514,-0.9935866,-0.9412614,-0.7347551,-0.6494673,-0.5432242,-0.649549
Belgium,BEL,Regulatory Quality: Estimate,RQ.EST,1.204084,1.298516,1.314252,1.356272,1.272992,1.330316,1.419906,1.40555,1.312602,1.28502,1.241629,1.22858,1.291454,1.157765,1.287759,1.340684,1.24688,1.268156,1.291109,1.350718
Belize,BLZ,Regulatory Quality: Estimate,RQ.EST,0.0207736,0.0155745,0.1178235,-0.1599605,0.0088224,-0.3449018,-0.4116923,-0.4427845,-0.4385273,-0.4103881,-0.5138005,-0.4732476,-0.4844147,-0.4965478,-0.4634508,-0.5123594,-0.5466834,-0.6500763,-0.5444132,-0.5378277
Benin,BEN,Regulatory Quality: Estimate,RQ.EST,-0.1743795,-0.4033242,-0.4779921,-0.4847811,-0.6539117,-0.4275719,-0.4441905,-0.4972941,-0.3465346,-0.3335557,-0.3462625,-0.3786036,-0.4007843,-0.5859138,-0.5630289,-0.5278944,-0.4710597,-0.3385929,-0.3760342,-0.3722045
Bermuda,BMU,Regulatory Quality: Estimate,RQ.EST,1.517836,1.468842,1.447286,1.448373,1.360657,1.350138,1.377706,1.398468,1.408183,1.391692,1.372053,1.327829,1.327262,0.8850665,0.9129404,0.8714429,0.844159,0.8234454,0.8463107,0.9409034
Bhutan,BTN,Regulatory Quality: Estimate,RQ.EST,-0.341934,-0.4179625,0.0334465,-0.819621,-0.2806116,-0.567003,-0.6922845,-0.7493685,-1.07056,-1.169393,-1.154382,-1.086905,-1.078863,-0.9980033,-0.7134356,-0.6651375,-0.3313459,-0.3448173,-0.3273374,-0.3105174
Bolivia,BOL,Regulatory Quality: Estimate,RQ.EST,0.035398,-0.0592883,-0.0844885,-0.2028167,-0.6925678,-0.8880664,-0.9819081,-0.8709679,-0.8793064,-0.802755,-0.7557204,-0.8235803,-0.7768504,-0.8702523,-0.8858231,-0.9240948,-0.8970232,-0.9072621,-0.9934214,-1.023997
Bosnia and Herzegovina,BIH,Regulatory Quality: Estimate,RQ.EST,-0.4991479,-0.5564302,-0.4817312,-0.208252,-0.5762483,-0.4643262,-0.2771055,-0.1511758,-0.0913915,-0.0880334,-0.0335498,-0.0513644,-0.0659818,-0.0898658,-0.1956575,-0.1666478,-0.1488003,-0.2157231,-0.1947562,-0.2324903
Botswana,BWA,Regulatory Quality: Estimate,RQ.EST,0.6290287,0.7811234,0.7945626,0.6598923,0.6679586,0.5266036,0.4639552,0.4948993,0.4851633,0.4557317,0.4938449,0.6109335,0.5811184,0.5850612,0.4388786,0.5284874,0.464981,0.4491354,0.3692842,0.4159909
