Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Unemployment total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,11.65,11.63,11.68,11.68,11.61,11.52,11.34,11.18,11.11,11.46,11.52,11.51,11.52,11.54,11.45,11.39,11.31,11.18,11.06,10.98,11.73
Albania,ALB,Unemployment total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,16.58,16.54,16.61,16.61,16.52,16.4,16.17,15.97,13.06,13.67,14.09,13.48,13.38,15.87,18.06,17.19,15.42,13.62,12.3,11.47,11.7
Algeria,DZA,Unemployment total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,29.77,27.3,25.9,23.72,17.65,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.21,11.21,10.2,12,11.89,11.81,12.83
American Samoa,ASM,Unemployment total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Unemployment total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Unemployment total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,3.87,3.85,3.88,3.88,3.85,3.81,3.73,3.66,3.63,3.78,9.43,7.36,7.37,7.38,7.31,7.26,7.2,7.1,7,6.93,7.7
Antigua and Barbuda,ATG,Unemployment total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Unemployment total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,15,17.32,19.59,15.36,13.52,11.51,10.08,8.47,7.84,8.65,7.71,7.18,7.22,7.1,7.27,7.61,7.97,8.35,9.22,9.84,11.67
Armenia,ARM,Unemployment total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,11.05,10.91,10.84,10.72,10.54,10.34,10.07,9.81,13.51,18.44,19.01,18.44,17.3,16.18,17.5,18.26,17.62,17.71,18.97,18.81,20.21
Aruba,ABW,Unemployment total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
