Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Land area (sq. km),AG.LND.TOTL.K2,Afghanistan,AFG,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860
Land area (sq. km),AG.LND.TOTL.K2,Albania,ALB,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400
Land area (sq. km),AG.LND.TOTL.K2,Algeria,DZA,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381741,2381741,2381741,2381741,2381741,2381741
Land area (sq. km),AG.LND.TOTL.K2,American Samoa,ASM,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Land area (sq. km),AG.LND.TOTL.K2,Andorra,AND,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470
Land area (sq. km),AG.LND.TOTL.K2,Angola,AGO,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700
Land area (sq. km),AG.LND.TOTL.K2,Antigua and Barbuda,ATG,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
Land area (sq. km),AG.LND.TOTL.K2,Argentina,ARG,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690
Land area (sq. km),AG.LND.TOTL.K2,Armenia,ARM,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470
Land area (sq. km),AG.LND.TOTL.K2,Aruba,ABW,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Land area (sq. km),AG.LND.TOTL.K2,Australia,AUS,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7692020,7692020,7692020,7692020,7692020
Land area (sq. km),AG.LND.TOTL.K2,Austria,AUT,82580,82580,82580,82580,82580,82580,82580,82578,82578,82578,82571,82561,82554,82531,82523,82520,82520,82520,82520,82520,82520
