Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,7708.09911454041,7208.37311355372,2593.404563368,3349.80630031036,4277.72157290954,5109.85224490403,5919.01233837714,7245.44685667197,9020.87332314274,8225.13758261645,10385.9644319555,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.041824658,11795.1593866287,10056.637940265,8579.01777315683
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,21697.7084797731,19527.3235767954,20117.7888912664,23492.4051742272,30513.9417409748,34080.9998953245,36117.487983674,41001.1429790999,49654.9105957389,42783.3225651148,52087.9722888891,62574.1457032412,68027.8417067378,68156.6279162085,62511.6905895284,56707.0220772116,49881.7637140466,53934.2501750463,57180.7794001614,54875.2859563351,51692.8427477695
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,3749.91084752888,3160.24934491441,2839.49150108966,3070.43641941942,3637.3138901512,4790.45656586131,5886.39152194816,7348.18796290712,8831.18364277674,8597.79433526264,11286.071540212,13245.387369564,12370.2232548476,12300.3867121004,12112.8349554875,8813.98980647828,8710.06328995352,9928.67589653405,9151.38173161536,8897.55296585529,6796.84454227877
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,959.372483635864,1053.10824300262,1148.50829043887,1288.64325183475,1508.66809788453,1753.41782926104,2099.22943460734,2693.97006340427,3468.30460207977,3832.23643246922,4550.45310775599,5614.35213522114,6300.61511825789,7020.33848453658,7636.11660125502,8016.43143498003,8094.36336675194,8816.98690451989,9905.34200389253,10143.8381719921,10434.7751874839
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,22364.0293943406,22433.5549829528,24177.3355586498,29568.3887998673,33741.2619183406,34760.1850154731,36443.6263055433,41508.4326882318,45334.117956922,41575.4219609625,40638.3352541414,43790.7260166781,40874.7003927338,42592.9353850549,43011.2631028417,36638.184929157,37037.3741861219,38685.2584944953,41572.4850099629,40578.6442850534,39030.3603713482
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,23635.9292203977,23607.8828553922,25077.7290759602,30243.5765296979,34044.0536341248,34507.3688142332,36323.4477421822,41587.2128984264,45427.151677489,41485.9016495139,41531.9341978689,46644.776027968,43858.3630551076,46285.7640688407,47959.9932737599,41086.7296737253,42107.5172703074,44542.2952040833,47950.1808142041,46794.8992915603,46208.4294717472
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,443.314193811316,451.572997293746,470.986786810734,546.726613494985,627.774241726543,714.8610153644,806.753280628799,1028.33477194577,998.522341514181,1101.96083821252,1357.5637268318,1458.10406619579,1443.88243476138,1449.61045069641,1573.88564182956,1605.60544457087,1732.55424231659,1980.66701982802,1996.91508739789,2100.75146060805,1927.70782309335
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,780.19020467518,748.257608719846,900.177588137897,1065.6485199064,1150.26136651088,1263.28733171098,1589.80148866142,1860.00281113287,2166.85423141608,2261.24730903274,3122.36267319362,3643.04717619274,3694.35933980214,3623.92724054274,3491.63749125449,3331.69511469189,3562.81633352183,3837.57802362633,3893.85957814877,4135.20153132694,3869.58842704537
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,20087.5919858794,20483.2159949974,22270.1441234282,27465.6752987224,31259.7164954309,32043.1403684119,33501.6581673044,37822.6652377427,40778.3427367209,37079.7586704546,36000.5201179254,38599.0622070322,35053.5262442572,35549.9746972954,35518.4152916749,30230.2263021296,30939.7142462298,32326.6742113994,34605.2627252058,33641.6337513622,31714.2209467105
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,39169.3595701504,34406.1824638092,32820.7936433254,35387.0374203599,38298.9801712303,37812.8950199948,35991.546002862,35779.0245416427,39876.3039685725,41308.9968370512,44968.1562349739,48760.0789494211,49145.2804308193,40898.6478964744,38475.3952461838,34960.6393843385,39400.7393559257,38891.0862716856,39808.1685608793,40777.6086970512,40193.2524448357
