Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,3.4794499874115,3.4620099067688,..,3.45445990562439,3.69521999359131,3.2558000087738,3.5119800567627,3.37331008911133,3.19979000091553,3.21377992630005,..
Albania,ALB,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,3.4301700592041,3.45869994163513,3.11779999732971,3.13824009895325,3.22751998901367,3.28154993057251,3.1914598941803,3.27592992782593,..,..,..,..,..,3.53929996490479,..,3.43796992301941,3.96209001541138,3.61172008514404,..,3.94576001167297,..
Algeria,DZA,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,4.33701992034912,..,..,..,..,..,..,..,7.34435987472534,6.50538015365601,5.8663501739502,6.10035991668701,..
American Samoa,ASM,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,14.7170495986938,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,1.65971004962921,..,1.54411995410919,1.64497005939484,2.24489998817444,2.10469007492065,2.87392997741699,3.14292001724243,2.97662997245789,2.98706007003784,..,2.50616002082825,3.07420992851257,3.28034996986389,3.23707008361816,3.21708989143372,3.2467200756073,3.15060997009277,..
Angola,AGO,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,2.60753011703491,..,..,..,..,2.12011003494263,2.28146004676819,..,..,..,3.42131996154785,3.2437698841095,3.27847003936768,3.8720600605011,2.93055009841919,3.48690009117126,2.75494003295898,2.46688008308411,2.04469990730286,1.82117998600006,..
Antigua and Barbuda,ATG,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,3.39525008201599,..,..,..,..,..,..,2.50888991355896,..,..,..,..,..,..,2.43079996109009,2.44847989082336,2.64407992362976,2.82214999198914,3.32161998748779
Argentina,ARG,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,4.58030986785889,4.833740234375,4.01734018325806,3.53504991531372,3.48652005195618,3.86000990867615,4.12821006774902,4.46260023117065,4.84440994262695,5.53105020523071,5.01971006393433,5.29062986373901,5.34582996368408,5.43661022186279,5.36144018173218,5.77611017227173,5.54548978805542,5.45431995391846,4.94551992416382,4.80237007141113,..
Armenia,ARM,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,2.77273011207581,2.46943998336792,2.13504004478455,2.1450400352478,2.48673009872437,2.71202993392944,2.71577000617981,3.01893997192383,3.17272996902466,3.84079003334045,3.24900007247925,3.14385008811951,2.77248001098633,2.65018010139465,2.24724006652832,2.80591011047363,2.75812005996704,2.70759010314941,2.25587010383606,2.56185007095337,2.70476007461548
Aruba,ABW,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,4.71468019485474,4.73986005783081,4.92364978790283,..,4.40848016738892,4.68132019042969,..,4.81504011154175,4.9992299079895,5.9247899055481,6.92926979064941,6.11913013458252,6.54905986785889,6.44295978546143,5.85128021240234,5.88826990127563,5.4913501739502,..,..,..,..
