Year,Country,ISO,Region_worldbank,IncomeGroup,CPIA Rating
2005,Aruba,ABW,Latin America & Caribbean,High income,
2005,Afghanistan,AFG,South Asia,Low income,
2005,Angola,AGO,Sub-Saharan Africa,Lower middle income,2.5
2005,Albania,ALB,Europe & Central Asia,Upper middle income,3.0
2005,Andorra,AND,Europe & Central Asia,High income,
2005,United Arab Emirates,ARE,Middle East & North Africa,High income,
2005,Argentina,ARG,Latin America & Caribbean,Upper middle income,
2005,Armenia,ARM,Europe & Central Asia,Upper middle income,2.5
2005,American Samoa,ASM,East Asia & Pacific,Upper middle income,
2005,Antigua and Barbuda,ATG,Latin America & Caribbean,High income,
2005,Australia,AUS,East Asia & Pacific,High income,
2005,Austria,AUT,Europe & Central Asia,High income,
2005,Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2.5
2005,Burundi,BDI,Sub-Saharan Africa,Low income,3.0
2005,Belgium,BEL,Europe & Central Asia,High income,
2005,Benin,BEN,Sub-Saharan Africa,Lower middle income,3.5
2005,Burkina Faso,BFA,Sub-Saharan Africa,Low income,3.5
2005,Bangladesh,BGD,South Asia,Lower middle income,2.5
2005,Bulgaria,BGR,Europe & Central Asia,Upper middle income,
2005,Bahrain,BHR,Middle East & North Africa,High income,
2005,"Bahamas, The",BHS,Latin America & Caribbean,High income,
2005,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,3.0
2005,Belarus,BLR,Europe & Central Asia,Upper middle income,
2005,Belize,BLZ,Latin America & Caribbean,Lower middle income,
2005,Bermuda,BMU,North America,High income,
2005,Bolivia,BOL,Latin America & Caribbean,Lower middle income,3.0
2005,Brazil,BRA,Latin America & Caribbean,Upper middle income,
2005,Barbados,BRB,Latin America & Caribbean,High income,
2005,Brunei Darussalam,BRN,East Asia & Pacific,High income,
2005,Bhutan,BTN,South Asia,Lower middle income,4.0
2005,Botswana,BWA,Sub-Saharan Africa,Upper middle income,
2005,Central African Republic,CAF,Sub-Saharan Africa,Low income,2.5
2005,Canada,CAN,North America,High income,
2005,Switzerland,CHE,Europe & Central Asia,High income,
2005,Channel Islands,CHI,Europe & Central Asia,High income,
2005,Chile,CHL,Latin America & Caribbean,High income,
2005,China,CHN,East Asia & Pacific,Upper middle income,
2005,Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2.0
2005,Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2.5
2005,"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2.0
2005,"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2.5
2005,Colombia,COL,Latin America & Caribbean,Upper middle income,
2005,Comoros,COM,Sub-Saharan Africa,Lower middle income,2.5
2005,Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,4.5
2005,Costa Rica,CRI,Latin America & Caribbean,Upper middle income,
2005,Cuba,CUB,Latin America & Caribbean,Upper middle income,
2005,Curacao,CUW,Latin America & Caribbean,High income,
2005,Cayman Islands,CYM,Latin America & Caribbean,High income,
2005,Cyprus,CYP,Europe & Central Asia,High income,
2005,Czech Republic,CZE,Europe & Central Asia,High income,
2005,Germany,DEU,Europe & Central Asia,High income,
2005,Djibouti,DJI,Middle East & North Africa,Lower middle income,2.5
2005,Dominica,DMA,Latin America & Caribbean,Upper middle income,4.0
2005,Denmark,DNK,Europe & Central Asia,High income,
2005,Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,
2005,Algeria,DZA,Middle East & North Africa,Lower middle income,
2005,Ecuador,ECU,Latin America & Caribbean,Upper middle income,
2005,"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,
2005,Eritrea,ERI,Sub-Saharan Africa,Low income,2.5
