week,season 2010/2011,season 2011/2012,season 2012/2013,season 2013/2014,season 2014/2015,season 2015/2016,season 2016/2017,season 2017/2018,season 2018/2019,season 2019/2020,season 2020/2021,season 2021/2022
37.IX.,16,39,472,320,481,474,773,1367,1084,872,511,1259
38.IX.,125,211,712,468,794,943,2280,2481,2037,1326,1647,2317
39.IX.,192,210,689,1126,1277,1226,2783,4291,2645,4400,1770,2992
40.IX.,335,366,982,1947,1835,2215,4716,6356,3364,4631,1435,3512
41.X.,342,672,1487,3354,3738,2599,3292,4747,4575,4913,1527,
42.X.,1354,1246,2155,3141,4636,3552,5473,5767,4043,5811,3244,
43.X.,1083,1202,2902,3465,4495,3776,4897,6266,4053,5290,1603,
44.X.,793,1501,3251,2703,5046,4314,5682,7646,3941,5563,2703,
45.XI.,1415,1938,2507,3558,4643,4942,5647,5377,4431,4718,2364,
46.XI.,935,1407,3198,2646,3585,4188,5353,6408,4404,5587,2117,
47.XI.,1055,1588,2739,3191,4098,3766,5224,5920,4848,4461,3205,
48.XI.,1213,2106,3268,3259,4909,4974,6026,5224,6027,4375,4812,
49.XII.,702,2461,4187,3691,5779,4463,4906,7722,5624,5639,4105,
50.XII.,1859,1691,4175,3827,5464,5000,5724,7240,5061,5425,4052,
51.XII.,1121,1754,2748,3078,5236,5281,5304,5964,6577,5412,2058,
52.XII.,1526,1854,4445,3076,4223,6035,7938,3814,4867,4904,2938,
1.I.,1316,1589,11241,2785,2898,5519,7493,6500,4713,3765,622,
2.I.,1844,1609,16810,2790,3105,4963,10162,7426,6194,5235,1365,
3.I.,2381,2095,16612,4417,4520,5885,15815,6709,6648,5090,840,
4.I.,3202,2430,20638,4575,4808,7421,25194,12344,10051,7342,1707,
5.II.,4228,2627,15644,4313,5668,10264,16590,12176,11739,11147,1745,
6.II.,4732,2266,12905,4437,5949,16378,13863,16640,10584,11852,2259,
7.II.,5139,1692,10783,5351,6705,15003,12459,13908,13300,15783,1929,
8.II.,6258,1752,5767,5321,8396,12734,10611,17160,10174,16446,1864,
9.III.,6454,2104,4460,7957,11020,8898,8002,16829,7036,15891,1318,
10.III.,7086,2761,5913,6681,11245,8048,7673,16139,5807,8299,3662,
11.III.,3942,2787,6101,7981,13189,8841,7485,12604,7284,7133,1494,
12.III.,3027,2720,5869,7412,11554,8373,7140,10580,7104,4484,3342,
13.IV.,1555,2110,6041,4704,7096,6644,5532,6278,4496,2746,1843,
14.IV.,1215,1345,4608,3547,4901,5911,3640,6159,4410,1550,3288,
15.IV.,967,1501,3179,2510,3517,4578,3519,3531,2756,1121,1805,
16.IV.,580,809,2074,1858,4634,4454,3061,4293,2029,629,2202,
